operation,run_time_ms
addcmul_,0.008524800091981888
sqrt,0.009136000275611877
__truediv__,0.010806400328874588
add_,0.009161599725484849
addcdiv_,0.008540800213813782
mul_,0.009142400324344635
add_,0.008153600245714187
mul_,0.009536000341176987
addcmul_,0.008486399799585343
sqrt,0.00894080027937889
__truediv__,0.01045759990811348
add_,0.009097599983215332
addcdiv_,0.008566399663686752
mul_,0.009171199798583985
add_,0.008185599744319916
mul_,0.009305600076913834
addcmul_,0.008627200126647949
sqrt,0.009228800237178803
__truediv__,0.011379200220108032
add_,0.009299200028181076
addcdiv_,0.008656000345945358
mul_,0.009139200299978256
add_,0.008320000022649765
mul_,0.009571199864149093
addcmul_,0.008607999980449676
sqrt,0.009081599861383438
__truediv__,0.010463999956846238
add_,0.009187199920415879
addcdiv_,0.008703999966382981
mul_,0.009139200299978256
add_,0.008217599987983704
mul_,0.009065599739551544
addcmul_,0.008601599931716919
sqrt,0.00958079993724823
__truediv__,0.010598400235176086
add_,0.009196799993515015
addcdiv_,0.008601599931716919
mul_,0.009283199906349182
add_,0.00820479989051819
mul_,0.00928959995508194
addcmul_,0.00854720026254654
sqrt,0.00936639979481697
__truediv__,0.011126399785280228
add_,0.00936639979481697
addcdiv_,0.008620800077915191
mul_,0.00987199991941452
add_,0.008217599987983704
mul_,0.009004800021648407
addcmul_,0.008540800213813782
sqrt,0.009065599739551544
__truediv__,0.010639999806880952
add_,0.009142400324344635
addcdiv_,0.008723200112581254
mul_,0.009123200178146362
add_,0.008236800134181977
mul_,0.009145600348711013
addcmul_,0.00856959968805313
sqrt,0.009145600348711013
__truediv__,0.011161600053310395
add_,0.009279999881982803
addcdiv_,0.008620800077915191
mul_,0.00920960009098053
add_,0.008243200182914735
mul_,0.009187199920415879
addcmul_,0.008591999858617782
sqrt,0.009862399846315383
__truediv__,0.011142399907112122
add_,0.00939520001411438
addcdiv_,0.008684799820184708
is_grad_enabled,0.001369599997997284
